"date","type","amount"
"14/04/2022","airfare",519.95
"14/04/2022","transport",80
"14/04/2022","misc",59.45
"30/04/2022","misc",78.21
"02/05/2022","airfare",27.25
"02/05/2022","food",284.21
"02/05/2022","misc",42.85
"03/05/2022","food",80.36
"03/05/2022","misc",14
"04/05/2022","food",113.03
"04/05/2022","misc",18
"05/05/2022","food",110.44
"05/05/2022","misc",49.09
"05/06/2022","food",11.70
"05/06/2022","misc",30
"05/06/2022","food",79.82
"05/06/2022","misc",52
"05/07/2022","misc",30
"05/07/2022","food",52
"05/07/2022","food",12.33
"05/08/2022","food",14.89
"05/08/2022","food",143.54
"05/08/2022","misc",29.81
"05/08/2022","misc",6.50
"05/09/2022","food",19.99
"05/09/2022","food",14.89
"05/09/2022","misc",12
"05/09/2022","food",75.45
"05/09/2022","food",5.31
"05/09/2022","food",7.99
"05/10/2022","food",36.21
"05/10/2022","misc",50
"05/10/2022","food",13.07
"05/10/2022","food",94.08
"05/10/2022","food",20
"05/10/2022","food",4.57
"05/10/2022","misc",26.50
"05/11/2022","food",25.09
"05/11/2022","food",111.84
"05/11/2022","misc",21.29
"05/1/2022","misc",12
"05/12/2022","food",14.89
"05/12/2022","food",23.89
"05/12/2022","food",12.41
"05/12/2022","airfare",23
